date,label,predicted
2020-08-31,0,1
2021-01-11,1,1
2021-01-27,1,1
2021-01-28,1,1
2021-02-25,0,1
2021-03-23,0,1
2021-04-05,0,1
2021-04-08,0,0
2021-04-26,0,1
